Alter;Groesse;Geschlecht;AlterV;AlterM;AnzSchuhe;NoteMathe;MatheZufr
 19;168;Frau; 54; 50;90;3,0;geht so
 20;165;frau; 52; 52;100;3,0;geht so
 23;190;Mann; 60; 53;10;NA;NA
 19;178;Mann; 51; 46;11;4,0;unzufrieden
 25;170;Frau; 59; 54;25;2,3;zufrieden
 20;169;Frau; 55; 54;30;1,7;sehr zufrieden
 22;175;Frau; 49; 56;60;2,7;zufrieden
 23;177;Mann; 55; 50;70;2,3;sehr zufrieden
 21;189;Mann; 50; 50;10;5,0;unzufrieden
 21;183;Mann; 54; 54;6;2,7;zufrieden
 25;168;Frau; 60; 57;20;NA;NA
 21;175;Frau; 62; 57;35;2,3;geht so
 25;179;mann; 63; 55;11;3,7;sehr zufrieden
 22;164;Frau; 43; 45;15;5,0;unzufrieden
 21;180;Mann; 58; 57;17;3,0;geht so
 20;179;frau; 55; 50;40;NA;unzufrieden
 20;163;frau; 52; 43;10;3,0;sehr zufrieden
 19;166;Frau; 55; 52;25;3,3;geht so
 27;170;Frau; 64; 60;20;4,0;geht so
 24;168;Frau; 52; 52;25;3,3;geht so
 20;175;Frau; 53; 53;9;5,0;unzufrieden
 25;173;Frau; 52; 46;30;NA;NA
 19;180;Mann; 52; 49;10;4,0;geht so
 23;166;frau; 59; 60;30;5,0;unzufrieden
 21;183;mann; 51; 49;6;2,7;zufrieden
 20;159;Frau; 49; 49;15;3,7;sehr zufrieden
 28;170;Frau; 55; 55;2;NA;NA
 28;175;frau; 62; 62;30;3,7;unzufrieden
 18;178;frau; 51; 51;15;3,7;geht so
 20;169;Frau; 46; 46;20;3,3;geht so
 24;195;Mann; 60; 56;5;NA;NA
 19;169;w; 50; 44;25;NA;NA
 24;163;Frau; 56; 56;25;3,7;unzufrieden
 26;180;Mann; 64; 56;20;5,0;unzufrieden
 22;175;Frau; 58; 57;20;5,0;unzufrieden
 19;160;Frau; 49; 51;8;3,0;geht so
 22;181;mann; 49; 45;3;NA;NA
 19;180;Mann; 59; 54;10;5,0;unzufrieden
 25;161;Frau; 50; 49;7;2,7;zufrieden
 20;168;frau; 45; 49;15;2,0;sehr zufrieden
 19;170;Frau; 41; 42;40;3,3;unzufrieden
 20;177;mann; 49; 55;15;2,3;sehr zufrieden
 23;167;Frau; 52; 50;20;5,0;unzufrieden
 24;193;Mann; 58; 64;3;1,3;geht so
 20;169;Frau; 55; 56;15;NA;NA
 19;174;Frau; 59; 54;15;5,0;unzufrieden
 22;162;frau; 49; 42;30;5,0;unzufrieden
 22;174;Frau; 60; 56;15;2,3;geht so
 21;193;m; 53; 47;5;1,3;sehr zufrieden
 29;186;m; 73; 65;11;5,0;unzufrieden
 20;170;frau; 52; 55;20;4,0;unzufrieden
 23;178;Mann; 54; 44;15;1,7;sehr zufrieden
 18;172;Frau; 43; 39;50;4,0;geht so
 19;172;Frau; 51; 50;17;5,0;unzufrieden
 26;167;frau; 55; 52;35;NA;NA
 20;162;Frau; 52; 45;8;3,0;unzufrieden
 22;162;Frau; 45; 43;5;NA;unzufrieden
 20;178;frau; 56; 54;20;2,7;geht so
 21;177;Frau; 50; 49;30;1,3;sehr zufrieden
 24;165;Frau; 70; 62;35;NA;NA
 21;185;Mann; 65; 64;2;4,0;unzufrieden
 30;156;frau; 58; 58;20;2,7;zufrieden
 19;168;Frau; 46; 42;40;2,7;zufrieden
 21;164;Frau; 55; 51;30;NA;NA
 20;181;Mann; 55; 50;10;5,0;unzufrieden
 21;183;m; 51; 49;4;3,7;unzufrieden
 22;179;Mann; 49; 45;4;3,7;geht so
 22;166;Frau; 55; 52;30;2,3;geht so
 19;172;Frau; 44; 48;40;3,3;geht so
 27;168;Frau; 51; 45;15;NA;NA
 25;178;mann; 60; 63;5;4,0;geht so
 21;171;Frau; 49; 50;45;3,7;geht so
 19;186;w; 55; 49;20;3,7;unzufrieden
 19;175;Mann; 49; 45;2;NA;NA
 22;182;Mann; 53; 52;10;NA;NA
 24;182;mann; 50; 49;7;2,3;sehr zufrieden
 20;169;Frau; 59; 50;15;2,0;sehr zufrieden
 18;170;Frau; 55; 55;20;4,0;unzufrieden
 19;165;frau; 65; 55;30;5,0;geht so
 21;171;Frau; 72; 50;20;4,0;zufrieden
 29;168;Frau; 54; 54;18;NA;unzufrieden
 19;169;Frau; 47; 46;35;3,0;unzufrieden
 18;174;Frau; 58; 56;30;NA;NA
 19;157;Frau; 49; 48;21;3,0;geht so
 20;169;Frau; 54; 52;25;2,3;zufrieden
 20;160;Frau; 65; 58;20;NA;NA
 19;168;frau; 51; 51;15;2,5;geht so
 23;163;Frau; 67; 63;45;5,0;unzufrieden
 23;180;Mann; 53; 54;12;3,3;geht so
 26;172;Mann; 59; 57;10;3,7;geht so
 24;172;Frau; 56; 55;50;2,7;zufrieden
 19;177;Mann; 59; 54;3;NA;NA
 28;166;Frau; 51; 52;8;5,0;unzufrieden
 23;175;Frau; 67; 59;30;5,0;unzufrieden
 25;182;Mann; 60; 51;10;NA;NA
 23;183;Mann; 61; 50;2;NA;NA
 22;175;Mann; 48; 45;12;5,0;unzufrieden
 21;170;Frau; 48; 46;40;2,0;zufrieden
 23;180;m; 53; 49;10;3,3;unzufrieden
 20;162;Frau; 52; 53;10;NA;NA
 22;160;Frau; 49; 46;35;NA;NA
 18;160;Frau; 48; 42;50;NA;NA
 23;174;m; 60; 53;4;NA;NA
 35;185;Mann; 61; 57;9;5,0;unzufrieden
 20;173;Frau; 51; 52;20;1,0;sehr zufrieden
 21;185;Mann; 56; 54;5;5,0;unzufrieden
 18;189;Mann; 58; 49;15;2,0;sehr zufrieden
 19;163;frau; 45; 42;20;5,0;unzufrieden
 19;166;Frau; 54; 51;50;3,0;geht so
 22;177;Mann; 63; 60;15;3,7;geht so
 20;165;w; 53; 48;25;3,0;unzufrieden
 19;190;mann; 51; 51;4;5,0;unzufrieden
 19;167;frau; 41; 41;3;NA;NA
 21;156;Frau; 57; 50;50;4,0;unzufrieden
 19;170;Frau; 44; 44;30;1,7;sehr zufrieden
 22;185;Mann; 45; 43;8;4,0;unzufrieden
 23;166;frau; 61; 59;30;1,7;geht so
 23;187;Mann; 58; 53;6;NA;NA
 24;150;frau; 60; 50;10;2,7;unzufrieden
 23;184;Mann; 48; 45;6;3,0;geht so
 19;191;Mann; 51; 53;15;2,7;geht so
 19;168;Mann; 48; 47;12;2,0;zufrieden
 19;165;frau; 42; 40;20;1,0;sehr zufrieden
 24;188;m; 56; 54;8;3,3;zufrieden
 25;175;Mann; 63; 58;8;NA;NA
 19;178;Mann; 58; 56;5;3,3;unzufrieden
 19;175;Frau; 51; 58;12;4,0;zufrieden
 21;165;Frau; 55; 51;25;2,3;zufrieden
 19;161;Frau; 47; 46;21;3,7;zufrieden
 23;181;mann; 55; 56;120;NA;NA
 24;185;Mann; 46; 50;20;4,0;geht so
 21;176;w; 52; 52;50;5,0;unzufrieden
 20;169;Frau; 43; 42;22;2,0;sehr zufrieden
 20;168;w; 49; 44;25;NA;NA
 20;176;Mann; 53; 51;8;2,0;zufrieden
 19;168;Frau; 55; 53;30;5,0;unzufrieden
 28;155;Frau; 65; 56;25;4,0;geht so
 26;184;m; 54; 54;5;1,7;sehr zufrieden
 29;161;Frau; 57; 54;50;NA;NA
 19;167;Frau; 48; 43;50;3,3;zufrieden
 22;166;frau; 57; 55;20;2,7;zufrieden
 21;170;frau; 57; 53;9;3,7;geht so
 20;161;Frau; 48; 46;17;3,0;geht so
 20;170;Mann; 50; 50;10;5,0;unzufrieden
 21;187;m; 52; 52;8;NA;NA
 18;163;w; 42; 42;7;3,3;unzufrieden
 21;169;Frau; 54; 50;22;NA;NA
 23;167;w; 66; 60;20;NA;NA
 20;160;w; 48; 46;20;4,0;zufrieden
 20;173;Mann; 54; 51;12;2,7;zufrieden
 26;195;mann; 62; 60;13;4,0;zufrieden
 24;190;m; 50; 49;18;5,0;unzufrieden
 24;162;frau; 55; 54;30;3,7;unzufrieden
 28;180;Mann; 61; 61;4;NA;NA
 21;188;Mann; 56; 55;4;2,7;sehr zufrieden
 20;178;Mann; 53; 52;5;2,3;sehr zufrieden
 19;174;Frau; 51; 46;20;1,3;sehr zufrieden
 25;158;Frau; 64; 56;30;1,3;sehr zufrieden
 20;167;Frau; 49; 43;15;5,0;unzufrieden
 23;164;w; 58; 54;50;3,7;geht so
 22;165;mann; 63; 59;5;NA;NA
 19;166;w; 49; 51;18;NA;NA
 30;183;mann; 57; 56;12;3,3;zufrieden
 27;183;Mann; 58;NA;5;NA;NA
 19;167;w; 73; 60;21;5,0;unzufrieden
 19;183;Mann; 54; 53;5;1,3;sehr zufrieden
 23;173;Frau; 62; 56;15;3,0;unzufrieden
 24;172;Mann; 68; 58;6;2,0;zufrieden
 20;175;Mann; 52; 52;4;2,0;sehr zufrieden
 22;158;Frau; 52; 48;40;5,0;unzufrieden
 20;168;w; 58; 54;40;1,7;sehr zufrieden
 20;164;Frau; 49; 53;10;3,7;geht so
 19;159;Frau; 52; 50;8;2,3;zufrieden
 23;188;Mann;511; 48;5;NA;NA
 20;177;mann; 54; 53;4;5,0;unzufrieden
 22;170;frau; 58; 52;40;5,0;unzufrieden
 22;172;Mann; 52; 51;10;NA;NA
 20;169;w; 51; 51;15;2,0;sehr zufrieden
 29;161;Frau; 52; 51;50;5,0;unzufrieden
 25;173;Mann; 53; 61;10;5,0;unzufrieden
 24;180;m; 56; 57;15;NA;NA
 19;170;Frau; 53; 52;10;5,0;unzufrieden
 18;178;mann; 52; 50;10;3,0;zufrieden
 32;176;Mann; 54; 56;8;5,0;zufrieden
 20;176;frau; 57; 54;15;NA;unzufrieden
 21;168;Frau; 55; 50;35;1,7;sehr zufrieden
 21;191;mann; 53; 51;9;1,0;sehr zufrieden
 24;172;Frau; 54; 48;45;NA;NA
 19;182;Mann; 59; 57;7;5,0;unzufrieden
 21;178;mann; 56; 49;45;1,0;sehr zufrieden
 18;168;Frau; 54; 54;12;3,3;unzufrieden
 21;174;Mann; 55; 53;3;NA;NA
 20;183;Mann; 50; 58;4;NA;NA
 25;170;frau; 54; 52;20;3,0;zufrieden
 20;167;frau; 48; 50;20;3,3;zufrieden
 20;189;Mann; 58; 59;9;2,3;zufrieden
 20;178;mann; 43; 43;9;NA;NA
 23;170;w; 65; 50;24;NA;NA
 20;174;Frau; 55; 53;25;2,3;geht so
 19;180;Mann; 50; 48;7;4,0;zufrieden
 20;181;Frau; 56; 48;17;4,0;geht so
 24;187;Mann; 54; 51;15;3,0;geht so
 26;196;Mann; 60; 56;15;4,0;unzufrieden
 19;185;mann; 47; 45;3;NA;NA
 20;193;m; 55; 55;8;3,3;zufrieden
 19;180;Frau; 58; 54;30;3,3;geht so
 21;167;Frau; 50; 48;40;NA;NA
 22;179;Mann; 50; 45;17;NA;NA
 36;190;Mann; 69; 67;6;2,7;zufrieden
 21;157;Frau; 54; 55;20;4,0;zufrieden
 22;187;Mann; 52; 49;6;3,7;geht so
 24;177;Mann; 52; 48;4;NA;NA
 21;176;Frau; 49; 45;30;3,0;zufrieden
 23;186;mann; 53; 50;10;2,3;sehr zufrieden
 25;182;Mann; 52; 50;5;2,7;geht so
 22;170;Frau; 58; 56;40;3,3;geht so
 19;162;Frau; 48; 42;40;NA;NA
 18;192;m; 55; 51;13;2,7;zufrieden
 20;170;w; 54; 59;35;2,7;zufrieden
 19;170;Frau; 53; 52;10;5,0;unzufrieden
199;195;Mann; 54; 49;6;NA;NA
 18;165;Frau; 49; 45;22;3,3;unzufrieden
 21;187;Mann; 50; 50;6;5,0;unzufrieden
 29;180;mann; 74; 67;6;4,0;zufrieden
 21;172;Frau; 48; 48;25;1,7;sehr zufrieden
 19;180;Frau; 48; 53;5;3,0;zufrieden
 19;170;Frau; 48; 48;20;NA;NA
 19;175;frau; 58; 55;35;4,0;geht so
 23;185;Mann; 56; 52;15;3,7;sehr zufrieden
 21;166;Frau; 47; 50;27;3,0;geht so
 34;168;Frau; 54; 57;25;3,3;geht so
 23;170;Frau; 65; 63;40;5,0;NA
 30;160;Frau; 52; 49;60;3,3;geht so
 23;170;Mann; 57; 54;6;3,3;geht so
 19;173;Frau; 54; 52;20;2,7;geht so
 19;179;w; 66; 54;16;3,0;geht so
 19;160;Frau; 49; 47;30;NA;NA
 20;180;m; 60; 55;13;1,0;sehr zufrieden
 21;173;frau; 51; 50;12;2,7;sehr zufrieden
 19;170;Frau; 73; 59;10;1,3;sehr zufrieden
 19;168;w; 57; 52;15;4,0;geht so
 22;188;Mann; 55; 56;3;NA;NA
 21;168;Mann; 65; 60;5;5,0;sehr zufrieden
 21;173;frau; 49; 48;15;NA;NA
 19;175;Frau; 59; 58;25;1,0;sehr zufrieden
 20;167;w; 50; 50;65;5,0;unzufrieden
 20;165;Frau; 44; 44;20;4,0;geht so
 19;172;Frau; 54; 52;60;3,0;zufrieden
 19;174;Frau; 60; 52;17;NA;NA
 24;174;Frau; 52; 54;12;NA;NA
 19;161;Frau; 61; 60;20;1,0;sehr zufrieden
 21;168;frau; 49; 47;20;3,3;geht so
 24;185;m; 60; 54;10;5,0;unzufrieden
 19;164;Frau; 48; 50;30;3,0;geht so
 21;177;Mann; 53; 55;19;3,7;unzufrieden
 19;179;Mann; 50; 50;5;3,3;geht so
 21;158;Frau; 48; 47;40;5,0;unzufrieden
 19;165;mann; 50; 49;4;NA;NA
 22;161;Frau; 54; 53;30;3,3;geht so
 18;160;w; 51; 50;20;1,7;sehr zufrieden
 19;165;Frau; 49; 48;20;2,7;zufrieden
 21;183;Mann; 59; 57;15;3,3;sehr zufrieden
 22;181;Mann; 54; 52;10;NA;NA
 23;166;Frau; 56; 50;40;3,7;zufrieden
 19;185;Mann; 60; 48;11;NA;NA
 20;168;Frau; 56; 55;15555;2,7;zufrieden
 20;178;Frau; 64; 60;8;5,0;unzufrieden
 23;168;Frau; 62; 62;50;2,7;zufrieden
 29;183;Mann; 61; 59;3;NA;NA
 19;168;Frau; 55; 57;15;NA;NA
 28;182;Mann; 53; 54;16;3,0;zufrieden
 19;169;frau; 49; 47;25;NA;NA
 24;173;mann; 56; 54;12;5,0;geht so
 22;185;m; 60; 55;4;NA;NA
 20;169;w; 52; 50;25;1,3;sehr zufrieden
 21;185;m; 58; 57;9;5,0;unzufrieden
 18;160;Frau; 55; 50;10;1,0;sehr zufrieden
 20;175;Mann; 50; 50;3;1,7;sehr zufrieden
 21;178;mann; 61; 54;11;4,0;geht so
